year,count_date,DOY,Chinook,Chum,Coho,Dolly,Pink,Sockeye,Steelhead
2010,5/25/2010,145,NA,NA,NA,NA,NA,0,NA
2010,5/26/2010,146,NA,NA,NA,NA,NA,0,NA
2010,5/27/2010,147,NA,NA,NA,NA,NA,0,NA
2010,5/28/2010,148,NA,NA,NA,NA,NA,0,NA
2010,5/29/2010,149,NA,NA,NA,NA,NA,0,NA
2010,5/30/2010,150,NA,NA,NA,NA,NA,0,NA
2010,5/31/2010,151,NA,NA,NA,NA,NA,0,NA
2010,6/1/2010,152,1,NA,NA,NA,NA,12,NA
2010,6/2/2010,153,1,NA,NA,NA,NA,0,NA
2010,6/3/2010,154,1,NA,NA,NA,NA,0,6
2010,6/4/2010,155,0,NA,NA,NA,NA,0,2
2010,6/5/2010,156,1,NA,NA,NA,NA,1,2
2010,6/6/2010,157,0,NA,NA,NA,NA,0,1
2010,6/7/2010,158,0,NA,NA,NA,NA,0,1
2010,6/8/2010,159,0,NA,NA,NA,NA,2,2
2010,6/9/2010,160,0,NA,NA,NA,NA,0,0
2010,6/10/2010,161,3,NA,NA,NA,NA,0,0
2010,6/11/2010,162,0,NA,NA,NA,NA,0,2
2010,6/12/2010,163,0,NA,NA,NA,NA,0,4
2010,6/13/2010,164,0,NA,NA,NA,NA,0,1
2010,6/14/2010,165,3,NA,NA,NA,NA,38,14
2010,6/15/2010,166,0,NA,NA,NA,NA,1293,0
2010,6/16/2010,167,0,NA,NA,NA,NA,1,0
2010,6/17/2010,168,49,4,NA,NA,NA,5347,1
2010,6/18/2010,169,2,NA,NA,NA,NA,2336,0
2010,6/19/2010,170,0,1,NA,NA,NA,1607,0
2010,6/20/2010,171,16,0,NA,0,NA,3446,0
2010,6/21/2010,172,19,1,NA,0,NA,1133,1
2010,6/22/2010,173,NA,NA,NA,0,NA,NA,NA
2010,6/23/2010,174,4,0,NA,0,NA,262,43
2010,6/24/2010,175,18,0,NA,0,NA,811,0
2010,6/25/2010,176,13,0,NA,6,NA,2011,0
2010,6/26/2010,177,7,NA,NA,18,NA,8519,3
2010,6/27/2010,178,31,1,NA,4,NA,4564,0
